Revised Product Name,Product category,Sub category,MRP,VAT,Maalgaadi Cost price,Maalgaadi Price,Customer Discount,Customer Discount %,Description
LITTLE'S SILLICONE NIPPLE,Baby Care,Accesories,24,5,11.74,21,3,13%,"Buy LITTLE'S SILLICONE NIPPLE, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY CREAM 100G,Baby Care,Baby Cream,115,12.5,99.07,112,3,3%,"Buy JOHNSON BABY CREAM 100G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
T-MINIC CHILDREN COLD SYRUP 60ML,Baby care,Baby Cure,48,5,38.4,46,2,4%,"Buy T-MINIC CHILDREN COLD SYRUP 60ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
WOODWARDS GRIPE WATER 130ML,Baby Care,Baby Cure,37,5,30.84,36,1,3%,"Buy WOODWARDS GRIPE WATER 130ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
WOODWARDS GRIPE WATER 200ML,Baby Care,Baby Cure,50,5,41.66,48,2,4%,"Buy WOODWARDS GRIPE WATER 200ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HUGGIES DRY MEDIUM 5'S,Baby Care,Baby Diapers,60,12.5,53.57,59,1,2%,"Buy HUGGIES DRY MEDIUM 5'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HUGGIES NEW DRY LAR 30NOS RL,Baby Care,Baby Diapers,340,12.5,303.57,331,9,3%,"Buy HUGGIES NEW DRY LAR 30NOS RL, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HUGGIES PANTS LARGE 2'S,Baby Care,Baby Diapers,28,12.5,24.35,27.5,0.5,2%,"Buy HUGGIES PANTS LARGE 2'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HUGGIES WONDER PANTS MED 2'S RL,Baby Care,Baby Diapers,26,12.5,22.61,25.5,0.5,2%,"Buy HUGGIES WONDER PANTS MED 2'S RL, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MAMYPOKO PANTS LARGE 38'S,Baby Care,Baby Diapers,499,12.5,399.2,485,14,3%,"Buy MAMYPOKO PANTS LARGE 38'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MAMYPOKO PANTS LARGE 56'S,Baby Care,Baby Diapers,699,12.5,540.97,681,18,3%,"Buy MAMYPOKO PANTS LARGE 56'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MAMYPOKO PANTS MEDIUM 44'S,Baby Care,Baby Diapers,499,12.5,399.2,479,20,4%,"Buy MAMYPOKO PANTS MEDIUM 44'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MAMYPOKO PANTS MEDIUM 64'S,Baby Care,Baby Diapers,699,12.5,540.97,681,18,3%,"Buy MAMYPOKO PANTS MEDIUM 64'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MAMYPOKO PANTS MEDIUM 9'S,Baby Care,Baby Diapers,110,12.5,95.65,107,3,3%,"Buy MAMYPOKO PANTS MEDIUM 9'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MAMYPOKO PANTS XL 32'S,Baby Care,Baby Diapers,499,12.5,433.91,489,10,2%,"Buy MAMYPOKO PANTS XL 32'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MAMYPOKO PANTS XL 46'S,Baby Care,Baby Diapers,699,12.5,540.97,681,18,3%,"Buy MAMYPOKO PANTS XL 46'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS ACTIVE BABY LARGE 50'S,Baby care,Baby Diapers,749,12.5,713.33,740,9,1%,"Buy PAMPERS ACTIVE BABY LARGE 50'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS ACTIVE BABY MEDIUM 62'S,Baby care,Baby Diapers,799,12.5,760.95,790,9,1%,"Buy PAMPERS ACTIVE BABY MEDIUM 62'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS ACTIVE BABY NEW BABY 24'S,Baby care,Baby Diapers,225,12.5,214.29,222,3,1%,"Buy PAMPERS ACTIVE BABY NEW BABY 24'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS ACTIVE BABY SMALL 22'S,Baby care,Baby Diapers,250,12.5,238.1,247,3,1%,"Buy PAMPERS ACTIVE BABY SMALL 22'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS ACTIVE BABY XL 32'S,Baby care,Baby Diapers,640,12.5,609.53,634,6,1%,"Buy PAMPERS ACTIVE BABY XL 32'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS DIAPER XL 5'S,Baby care,Baby Diapers,65,12.5,56.52,63,2,3%,"Buy PAMPERS DIAPER XL 5'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS LARGE 2'S PACK OF 6,Baby care,Baby Diapers,162,12.5,138.47,157,5,3%,"Buy PAMPERS LARGE 2'S PACK OF 6, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS LARGE 60'S,Baby care,Baby Diapers,670,12.5,524.35,652,18,3%,"Buy PAMPERS LARGE 60'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS MEDIUM 2'S PACK OF 6,Baby care,Baby Diapers,150,12.5,128.21,142,8,5%,"Buy PAMPERS MEDIUM 2'S PACK OF 6, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS MEDIUM 5'S,Baby care,Baby Diapers,60,12.5,57.14,59.5,0.5,1%,"Buy PAMPERS MEDIUM 5'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS MEDIUM 66'S,Baby care,Baby Diapers,670,12.5,524.35,652,18,3%,"Buy PAMPERS MEDIUM 66'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS PANTS LARGE 20'S,Baby care,Baby Diapers,250,12.5,238.1,247,3,1%,"Buy PAMPERS PANTS LARGE 20'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS PANTS LARGE 36'S,Baby care,Baby Diapers,449,12.5,427.62,444,5,1%,"Buy PAMPERS PANTS LARGE 36'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS PANTS MEDIUM 42'S,Baby care,Baby Diapers,449,12.5,427.62,444,5,1%,"Buy PAMPERS PANTS MEDIUM 42'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS PANTS MEDIUM 60'S,Baby care,Baby Diapers,755,12.5,550.52,705,50,7%,"Buy PAMPERS PANTS MEDIUM 60'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS PANTS XL 20'S,Baby care,Baby Diapers,375,12.5,357.14,371,4,1%,"Buy PAMPERS PANTS XL 20'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS SMALL 22'S,Baby care,Baby Diapers,224,12.5,213.33,221,3,1%,"Buy PAMPERS SMALL 22'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS SMALL 2'S PACK OF 6,Baby care,Baby Diapers,108,12.5,96.42,105,3,3%,"Buy PAMPERS SMALL 2'S PACK OF 6, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PAMPERS SMALL 5'S,Baby care,Baby Diapers,50,12.5,47.62,49.5,0.5,1%,"Buy PAMPERS SMALL 5'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CERELAC RICE 300G BB,Baby Care,Baby Food,138,12.5,126.61,135,3,2%,"Buy CERELAC RICE 300G BB, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CERELAC STAGE 3 RICE MANGO 300G,Baby Care,Baby Food,175,12.5,160.55,172,3,2%,"Buy CERELAC STAGE 3 RICE MANGO 300G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CERELAC WHEAT HONEY 300G,Baby Care,Baby Food,162,12.5,148.62,159,3,2%,"Buy CERELAC WHEAT HONEY 300G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CERELAC WHEAT RICE MIXED FRUIT 300G,Baby Care,Baby Food,170,12.5,155.96,167,3,2%,"Buy CERELAC WHEAT RICE MIXED FRUIT 300G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE MILKMAID 400G,Baby Care,Baby Food,89,5,81.65,87,2,2%,"Buy NESTLE MILKMAID 400G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE NAN 1 400GM,Baby Care,Baby Food,390,12.5,357.8,384,6,2%,"Buy NESTLE NAN 1 400GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE NAN 2 400GM,Baby Care,Baby Food,368,12.5,337.61,362,6,2%,"Buy NESTLE NAN 2 400GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE NAN 3 400GM,Baby Care,Baby Food,366,12.5,335.78,360,6,2%,"Buy NESTLE NAN 3 400GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON'S BABY HR OIL AVOCA 200ML,Baby Care,Baby Hair Oil ,110,12.5,100,107,3,3%,"Buy JOHNSON'S BABY HR OIL AVOCA 200ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY LOTION 100ML,Baby Care,Baby Lotion,80,12.5,68.95,77,3,4%,"Buy JOHNSON BABY LOTION 100ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY LOTION 200ML,Baby Care,Baby Lotion,135,12.5,116.35,130,5,4%,"Buy JOHNSON BABY LOTION 200ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY LOTION PUMP 500ML,Baby Care,Baby Lotion,320,12.5,275.79,305,15,5%,"Buy JOHNSON BABY LOTION PUMP 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY MILK LOTION 200 ML,Baby Care,Baby Lotion,145,12.5,124.97,140,5,3%,"Buy JOHNSON BABY MILK LOTION 200 ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY BODY OIL 100ML,Baby Care,Baby Oil,90,12.5,77.57,87,3,3%,"Buy JOHNSON BABY BODY OIL 100ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY BODY OIL 200ML,Baby Care,Baby Oil,165,12.5,142.2,157,8,5%,"Buy JOHNSON BABY BODY OIL 200ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY BODY OIL 500ML,Baby Care,Baby Oil,330,12.5,284.41,315,15,5%,"Buy JOHNSON BABY BODY OIL 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY BODY OIL 50ML,Baby Care,Baby Oil,48,12.5,41.37,46,2,4%,"Buy JOHNSON BABY BODY OIL 50ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY POWDER 100GM,Baby Care,Baby Powder,50,12.5,43.11,48,2,4%,"Buy JOHNSON BABY POWDER 100GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY POWDER 200GM,Baby Care,Baby Powder,88,12.5,75.87,85,3,3%,"Buy JOHNSON BABY POWDER 200GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY POWDER 400GM,Baby Care,Baby Powder,140,12.5,120.71,135,5,4%,"Buy JOHNSON BABY POWDER 400GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY POWDER 50GM,Baby Care,Baby Powder,25,12.5,21.56,24.5,0.5,2%,"Buy JOHNSON BABY POWDER 50GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY POWDER 700GM,Baby Care,Baby Powder,240,12.5,206.93,230,10,4%,"Buy JOHNSON BABY POWDER 700GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY POWDER BLOSSOMS 100G,Baby Care,Baby Powder,48,12.5,41.39,46,2,4%,"Buy JOHNSON BABY POWDER BLOSSOMS 100G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY POWDER BLOSSOMS 200G,Baby Care,Baby Powder,95,12.5,81.91,92,3,3%,"Buy JOHNSON BABY POWDER BLOSSOMS 200G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SHAMPOO 100ML,Baby Care,Baby Shampoo,80,12.5,68.9,77,3,4%,"Buy JOHNSON BABY SHAMPOO 100ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SHAMPOO 200ML,Baby Care,Baby Shampoo,150,12.5,129.18,145,5,3%,"Buy JOHNSON BABY SHAMPOO 200ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SHAMPOO 475ML,Baby Care,Baby Shampoo,310,12.5,266.99,295,15,5%,"Buy JOHNSON BABY SHAMPOO 475ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SHAMPOO 60ML,Baby Care,Baby Shampoo,50,12.5,43.07,48,2,4%,"Buy JOHNSON BABY SHAMPOO 60ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HIMALAYA BABY GENTLE SOAP 125G,Baby Care,Baby Soap,55,12.5,47.01,53,2,4%,"Buy HIMALAYA BABY GENTLE SOAP 125G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HIMALAYA BABY GENTLE SOAP 75G,Baby Care,Baby Soap,35,12.5,29.91,34,1,3%,"Buy HIMALAYA BABY GENTLE SOAP 75G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY BLOSSOMS SOAP 75GM,Baby Care,Baby Soap,37,12.5,33.04,36.5,0.5,1%,"Buy JOHNSON BABY BLOSSOMS SOAP 75GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY MILK SOAP 75GM,Baby Care,Baby Soap,37,12.5,33.04,36.5,0.5,1%,"Buy JOHNSON BABY MILK SOAP 75GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SOAP 100GX3 RS21OFF,Baby Care,Baby Soap,120,12.5,107.15,117,3,3%,"Buy JOHNSON BABY SOAP 100GX3 RS21OFF, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SOAP MOIST 100G,Baby Care,Baby Soap,49,12.5,42.99,48,1,2%,"Buy JOHNSON BABY SOAP MOIST 100G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SOAP MOIST 150GM,Baby Care,Baby Soap,68,12.5,58.62,66,2,3%,"Buy JOHNSON BABY SOAP MOIST 150GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SOAP MOIST 25G(11+1),Baby Care,Baby Soap,110,12.5,98.21,107,3,3%,"Buy JOHNSON BABY SOAP MOIST 25G(11+1), Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SOAP MOIST 50G,Baby Care,Baby Soap,24,12.5,21.05,23.5,0.5,2%,"Buy JOHNSON BABY SOAP MOIST 50G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SOAP MOIST.75G,Baby Care,Baby Soap,37,12.5,33.04,36.5,0.5,1%,"Buy JOHNSON BABY SOAP MOIST.75G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HIMALAYA BABY WIPES 72'S,Baby Care,Baby Wipes,165,12.5,141.03,160,5,3%,"Buy HIMALAYA BABY WIPES 72'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SKINCARE WIPES 20S,Baby Care,Baby Wipes,59,12.5,50.86,57,2,3%,"Buy JOHNSON BABY SKINCARE WIPES 20S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
JOHNSON BABY SKINCARE WIPES 80S,Baby Care,Baby Wipes,190,12.5,163.79,184,6,3%,"Buy JOHNSON BABY SKINCARE WIPES 80S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
